,date,aqi,pm2_5,pm10,co,no2,o3,so2,nh3
0,2023-09-08,3.0,37.2275,39.489999999999995,664.2325,25.0175,8.225,16.9575,1.7974999999999999
1,2023-09-09,3.0,36.062083333333334,40.32625,738.7791666666667,19.87125,20.865,14.727916666666667,3.0445833333333336
2,2023-09-10,4.791666666666667,108.42833333333334,121.90916666666668,863.67125,17.486250000000002,59.41833333333333,14.727083333333333,5.576249999999999
3,2023-09-11,5.0,168.0925,186.55875,1215.81625,23.831666666666667,79.36333333333333,21.110833333333332,7.144166666666667
4,2023-09-12,5.0,116.88291666666667,127.40416666666665,935.1570833333334,21.599166666666665,60.14291666666667,21.984583333333333,3.9949999999999997
5,2023-09-13,4.916666666666667,102.79458333333334,114.91791666666667,909.8454166666667,24.761666666666667,36.4075,20.1125,5.711666666666666
6,2023-09-14,3.0416666666666665,35.0925,40.422916666666666,557.0045833333334,11.801250000000001,66.48875,14.687916666666666,4.9
7,2023-09-15,3.5833333333333335,47.962916666666665,54.326249999999995,495.6716666666666,12.472916666666668,76.76375,18.865,3.5004166666666667
8,2023-09-16,4.541666666666667,78.07833333333333,88.9975,721.2554166666667,13.240833333333333,75.8475,13.0475,5.617083333333333
9,2023-09-17,4.958333333333333,257.1433333333334,285.23625,1759.3304166666667,32.97625,67.4525,26.86708333333333,17.96125
10,2023-09-18,5.0,283.0825,308.50291666666664,1929.8400000000001,30.79125,121.89958333333334,32.27583333333333,19.312083333333334
11,2023-09-19,4.541666666666667,119.995,130.96875,927.3691666666667,16.72625,77.32208333333334,19.500416666666666,6.457916666666667
12,2023-09-20,2.625,29.287499999999998,34.65291666666666,562.1504166666667,11.82,71.22666666666667,12.317916666666667,5.005416666666666
13,2023-09-21,1.7916666666666667,11.954166666666666,14.174999999999999,547.9645833333333,15.1475,19.915,11.924999999999999,2.5395833333333333
14,2023-09-22,2.7083333333333335,25.330833333333334,27.65625,616.1129166666666,23.4275,7.127916666666667,22.132499999999997,2.035833333333333
15,2023-09-23,3.0,38.95583333333334,43.01458333333333,879.5270833333334,25.090416666666666,3.6679166666666667,16.655416666666667,4.241666666666666
16,2023-09-24,3.9583333333333335,64.43208333333332,73.25083333333333,1295.0908333333334,29.994583333333335,1.47,21.115,9.199583333333333
17,2023-09-25,3.7083333333333335,58.40625,71.47125,1337.3700000000001,29.652083333333334,2.8349999999999995,20.7625,8.105833333333333
18,2023-09-26,4.625,91.62708333333335,109.03958333333333,1529.8520833333332,33.50125,2.317083333333333,23.593333333333334,9.980833333333333
19,2023-09-27,5.0,231.34,261.54125,1984.91375,31.484166666666667,78.84541666666667,27.259583333333335,15.740833333333333
20,2023-09-28,5.0,233.59166666666667,264.65916666666664,2097.2879166666667,31.215833333333336,50.2425,24.960416666666664,16.188333333333333
21,2023-09-29,5.0,210.35958333333335,235.62541666666667,1900.9104166666666,35.1575,56.45791666666667,21.035416666666666,10.852083333333333
22,2023-09-30,5.0,169.08,174.38,1361.85,13.88,64.37,17.4,4.37
23,2023-10-02,2.782608695652174,32.39782608695652,36.03173913043479,583.11,11.943478260869565,62.27391304347826,14.745652173913042,3.2917391304347823
24,2023-10-03,2.7083333333333335,28.11916666666667,31.549166666666665,599.4245833333333,14.750833333333333,42.60166666666667,15.834583333333333,3.0529166666666665
25,2023-10-04,1.8333333333333333,15.3725,18.478333333333335,565.7666666666667,13.768749999999999,21.82166666666667,10.34625,2.9716666666666662
26,2023-10-05,2.375,23.013333333333335,32.87416666666667,678.1420833333333,15.437083333333334,27.77125,11.001666666666667,5.464166666666666
27,2023-10-06,4.333333333333333,100.45625,128.6,1486.1804166666668,37.8425,41.94833333333333,19.709583333333335,14.985416666666666
28,2023-10-07,5.0,181.19041666666666,206.12125,1613.5775,27.302916666666665,67.5625,17.71291666666667,12.045833333333334
29,2023-10-08,5.0,176.48666666666668,201.94958333333332,1106.50125,16.173750000000002,77.04625,12.521666666666667,8.664583333333333
30,2023-10-09,5.0,136.25333333333333,180.77166666666668,1056.155,22.423333333333332,63.57458333333333,15.233333333333334,10.072916666666666
31,2023-10-10,5.0,199.59708333333333,266.53249999999997,1827.2,31.318749999999998,57.67625,25.893333333333334,26.710416666666664
32,2023-10-11,5.0,225.76666666666665,283.57375,1839.7175,26.86125,69.45958333333333,20.245416666666667,14.672916666666666
33,2023-10-12,5.0,198.11749999999998,254.2279166666667,1939.0179166666667,27.279583333333335,61.76791666666667,21.262916666666666,21.78333333333333
34,2023-10-13,5.0,242.76874999999998,303.00416666666666,2071.6983333333333,29.017916666666668,63.975833333333334,22.580416666666665,19.5075
35,2023-10-14,5.0,192.92875,225.23041666666666,1406.9079166666668,20.797083333333333,72.50666666666667,15.6175,11.371249999999998
36,2023-10-15,5.0,204.70000000000002,258.17375,1626.9275,27.017916666666668,58.28333333333333,21.339166666666667,23.80666666666667
37,2023-10-16,5.0,247.69125,286.675,1783.53,31.895,64.85416666666667,23.812083333333334,19.785833333333333
38,2023-10-17,5.0,248.82416666666666,274.44875,1661.6983333333335,22.29125,85.83041666666666,20.455000000000002,12.124583333333334
39,2023-10-18,5.0,161.09833333333333,186.17458333333332,1286.46625,23.3775,72.94416666666667,15.154583333333333,10.130833333333333
40,2023-10-19,5.0,147.4475,174.74333333333334,1211.365,27.332083333333333,66.7975,18.359166666666667,10.882916666666667
41,2023-10-20,5.0,166.98041666666668,210.28125,1713.7124999999999,29.895,51.25958333333333,19.957083333333333,17.706666666666667
